chroma_stft_mean,chroma_stft_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,rolloff_mean,rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,mfcc0_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc0_std,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc14_std,mfcc15_std,mfcc16_std,mfcc17_std,mfcc18_std,mfcc19_std,label
0.38714087,0.34367567,2702.2799880041016,1642.1378020311627,2288.0856738030916,1108.6622590377683,5248.3154296875,3152.4656982658194,0.26136997767857145,0.23020345011207774,-583.75903,30.812733,-9.237398,0.46807742,-7.2963586,-8.624814,-4.980162,-14.939533,-8.910188,-4.0143704,-4.783863,-6.3318653,-8.213782,2.8795788,-7.076082,-1.7806307,0.8534039,1.5330366,2.2872303,2.3108084,172.39188,49.94571,23.057028,17.29919,16.245224,15.86917,14.46379,17.502987,12.465754,10.708961,8.852427,8.878406,11.368024,6.5759277,10.041015,6.029005,8.75339,11.176892,12.475469,11.772894,sad
0.4267472,0.35898867,3000.444732539243,1975.265948721255,2275.7346359035405,1094.1834287047911,5509.883117675781,3299.445510628335,0.2752244737413194,0.2708124810725247,-584.3528,34.628197,-13.153768,0.9661778,-9.562157,-10.736145,-6.4449973,-16.658524,-8.53253,-5.148322,-7.0458355,-8.758817,-7.1568656,0.28929296,-6.380884,1.3061074,-1.2603716,-1.6758202,-0.9775944,1.2386025,199.60239,52.941063,30.994122,18.643541,21.515287,17.604761,16.03085,20.685656,13.559298,11.591963,10.786562,11.843134,13.249827,9.409614,15.541588,16.599636,12.092374,11.545103,9.112215,8.725301,surprised
0.37641326,0.34533763,2812.623531321409,1699.6007125418723,2223.518311148238,1097.1678331872386,5244.614906577797,3141.146978874256,0.25418624344405594,0.22471281580661026,-556.4647,26.454716,-14.584365,0.0054331957,-8.514774,-6.439196,-5.73373,-16.837593,-10.86787,-2.7984526,-6.635927,-7.3337173,-5.5277143,1.3519403,-5.674757,-2.2004018,-2.3454711,-1.8504477,1.3360987,6.035913,167.3887,45.053513,27.54701,19.693098,13.664069,14.710418,11.239458,18.139906,13.660529,9.4447,10.717027,10.554236,10.158782,5.6464195,9.206933,8.910845,7.8282475,10.032634,11.2360525,13.15726,fearful
0.4604698,0.34989038,3666.1598161628335,1686.400063857642,2625.971995392553,691.9614877276451,6539.224261886503,2609.7591957688824,0.2771011071702454,0.21512626883656963,-474.2247,10.371183,-25.052898,-2.3355637,-9.799411,-17.97335,-9.226479,-17.65671,-9.360544,-6.716874,-8.166137,-6.346801,-0.45799434,11.612278,7.828591,11.326983,6.2595925,-0.7587548,-2.1447582,-0.035219047,168.35278,41.385887,42.978863,27.816961,21.202873,23.475899,14.628289,19.87959,14.878521,12.927478,10.934843,10.267216,12.229597,17.87602,18.7513,16.73785,18.43216,15.563165,11.104561,10.301697,sad
0.33203253,0.35702315,2216.886209700175,1776.2679131776342,1919.8363958303787,1194.6708433554218,4259.322439789013,3235.933133518261,0.16010648885350318,0.17887373580201457,-649.0007,51.375904,-6.0624485,6.6234527,-8.539769,-4.004293,-8.759217,-13.475443,-8.887056,-4.508,-3.042561,-7.012759,-2.2209997,-2.253652,-6.240348,-3.0011432,-3.6055174,-5.208619,-4.7615867,-0.88952285,174.8979,54.937412,34.105263,19.863556,22.151066,15.690971,18.163914,15.353701,14.375505,12.398534,7.548113,10.512609,7.1610804,6.6403847,11.739808,7.484629,5.9336843,8.5748205,8.756846,5.289336,calm
0.36825335,0.34606597,2653.572472389385,1797.9501121917267,2152.7573090107703,1116.8435047053254,4927.02205882353,3128.1690835436802,0.22396471609477125,0.22269536654798497,-485.34558,24.697906,-14.503859,-5.9637094,-13.36788,-11.233029,-11.204813,-20.215559,-6.724523,-7.657445,-9.250828,-7.140695,-4.010659,1.4826688,-6.6942067,0.6844718,-2.309178,-1.799261,1.5653152,1.9765414,213.5333,43.014103,35.196632,28.85776,27.25944,17.080267,17.3936,22.75473,12.648061,14.157349,11.641875,10.175626,15.205155,12.855236,11.687244,10.779859,10.639449,12.060273,11.149333,11.387938,surprised
0.40613538,0.34483364,3327.9203059980655,2021.3173855157029,2427.1062509375893,1013.6609252030275,5921.84619140625,3243.2281548812944,0.359501953125,0.2883785283126792,-601.31134,20.895056,-9.512454,-2.4908037,-8.2145,-15.522899,-6.5326557,-18.267887,-9.641226,-5.123628,-8.326988,-6.1638265,-6.9624543,1.5060616,-7.01628,-0.7767464,-0.2870461,0.6267578,4.167889,8.302171,180.99316,52.080517,31.896252,23.323387,15.769374,19.897217,14.918071,19.721336,12.4114485,11.285478,10.838586,8.07526,11.262664,6.937728,11.375961,9.436482,9.766769,10.088114,13.667846,17.142641,sad
0.41684097,0.3439215,2690.5760595930633,1606.758019687854,2244.6765991319344,945.4315850560757,5052.594102487056,2984.738596120312,0.26959481323964496,0.2402130839419649,-594.86475,44.845543,-7.8453317,3.4191215,-6.7085395,-7.1398168,-12.087419,-12.093907,-10.353761,-0.9920415,-7.0462656,-6.989455,-4.204692,-0.34115094,-6.0037518,-0.13972391,-1.3606116,-2.4077954,-5.047371,-1.9588401,181.47554,57.017925,26.565062,23.384815,16.457233,13.539044,16.538136,14.672642,12.878352,10.102755,8.568003,8.536739,7.754368,8.673118,15.092984,10.08893,12.519416,8.06367,7.715879,7.018744,disgust
0.5117978,0.35110214,3229.60247808646,1707.164050072353,2456.0229463934993,943.6434990217804,6035.8001913800335,3011.822769069121,0.345496670511745,0.2834098045505521,-607.9138,43.23118,-15.182758,5.7042093,-3.845371,-9.988026,-5.7680507,-14.3284645,-5.5380206,-3.931336,-5.8390956,-5.6219506,-4.7629595,-1.7976848,-8.568682,-2.3017843,-3.0025136,-2.2782388,-3.7858047,0.47736537,199.62457,57.16285,41.204334,21.09648,18.688463,18.115194,16.80936,20.249382,11.440152,10.802192,8.384781,9.173687,7.7041674,6.0353937,10.835986,6.145858,8.174525,9.127621,9.561562,8.041361,happy
0.4017512,0.35232645,2782.358644928412,1880.4028732290199,2179.2103491062016,1113.3800535404528,5157.605895996094,3346.929079468239,0.2595672607421875,0.2420225892316683,-554.8937,34.205566,-10.455088,3.2919006,-9.409959,-7.5281434,-7.363871,-13.511052,-8.225048,-5.038652,-4.2980027,-8.199026,-3.7463455,-2.545766,-9.740266,-3.4278939,-3.3540707,-1.9301866,-2.9604218,3.2230988,162.82338,55.487583,25.920662,20.423439,19.964144,15.629424,15.896195,16.661314,13.496041,10.397635,9.683838,10.522073,6.263953,7.8641295,12.00095,8.00413,6.6032047,6.617625,9.971286,10.652704,angry
